AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A796727,Dog,Jack Russell Terrier,White/Blue Merle,Intact Male,Stray,Normal,2190.0,Adulto (3-7a),purebred,Bicolor,Verano,6,4,Adoption
A808827,Dog,Pit Bull,Black Brindle/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,11,15,Adoption
A705391,Dog,Cocker Spaniel Mix,Black/White,Neutered Male,Stray,Injured,2555.0,Senior (>7a),mix,Bicolor,Verano,6,11,Adoption
A592629,Dog,Dachshund Mix,Red Tick/Red,Neutered Male,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Invierno,2,14,Adoption
A671126,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Invierno,1,16,Adoption
A732709,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Verano,8,1,Transfer
A817703,Cat,Domestic Longhair Mix,Black Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,5,27,Adoption
A702389,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Injured,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,5,0,At Risk
A707016,Cat,Domestic Shorthair Mix,White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,7,0,Transfer
A699938,Dog,Norfolk Terrier Mix,Tan,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,5,0,Return to Owner
A737709,Cat,Japanese Bobtail Mix,Tortie,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,11,16,Adoption
A811544,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,180.0,Joven (6m-1a),mix,Monocolor,Invierno,1,3,Transfer
A667938,Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Monocolor,Otoño,11,0,Transfer
A732837,Cat,Domestic Shorthair Mix,Black,Intact Male,Public Assist,Sick,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,8,37,Transfer
A666538,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Male,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Verano,7,4,Transfer
A800634,Cat,Domestic Longhair,Brown Tabby,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Verano,7,12,Transfer
A742345,Dog,Miniature Poodle Mix,Apricot,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,1,4,Adoption
A810726,Dog,English Bulldog,Brown/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,12,8,Adoption
A682523,Dog,German Shepherd/Australian Cattle Dog,Black/Tan,Intact Female,Stray,Normal,2190.0,Adulto (3-7a),purebred,Bicolor,Verano,6,3,Return to Owner
A781744,Dog,Schnauzer Giant,Black/White,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,10,1,Adoption
A743131,Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,2,10,Adoption
A729920,Dog,Labrador Retriever Mix,Red,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,6,57,Adoption
A807681,Cat,Domestic Shorthair,Orange Tabby,Intact Male,Stray,Normal,150.0,Cachorro (<6m),purebred,Monocolor,Otoño,10,4,Transfer
A673590,Dog,Greyhound/Dalmatian,Tricolor,Intact Female,Public Assist,Injured,365.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,2,5,Return to Owner
A733514,Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,8,11,Adoption
A786318,Cat,Domestic Shorthair Mix,Tortie,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,12,5,Transfer
A690643,Cat,Domestic Longhair,Orange Tabby/White,Spayed Female,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,10,1,Adoption
A762043,Cat,Domestic Medium Hair Mix,Blue,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,11,1,At Risk
A815382,Dog,Labrador Retriever Mix,Brown/Tricolor,Intact Male,Owner Surrender,Normal,150.0,Cachorro (<6m),mix,Bicolor,Primavera,3,39,Adoption
A723560,Dog,Labrador Retriever Mix,White,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,4,0,Return to Owner
A772652,Dog,Miniature Poodle/Cocker Spaniel,Cream,Intact Male,Stray,Normal,270.0,Joven (6m-1a),purebred,Monocolor,Primavera,5,4,Transfer
A704913,Dog,Pit Bull Mix,Blue/White,Intact Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,236,Transfer
A764243,Cat,Domestic Shorthair Mix,Blue,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,12,16,Return to Owner
A807834,Cat,Ragdoll Mix,Seal Point,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,10,6,Adoption
A787687,Dog,German Shepherd Mix,Black,Intact Female,Stray,Nursing,1.0,Cachorro (<6m),mix,Monocolor,Invierno,1,67,Adoption
A771508,Cat,Domestic Medium Hair Mix,Orange Tabby,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,5,51,Adoption
A688457,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Otoño,9,42,Adoption
A762680,Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,150.0,Cachorro (<6m),mix,Bicolor,Otoño,11,26,Adoption
A772746,Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,2920.0,Senior (>7a),mix,Monocolor,Primavera,5,16,Transfer
A810024,Cat,Domestic Shorthair,Black/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,12,3,Transfer
A716696,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,11,4,Adoption
A689332,Dog,Labrador Retriever Mix,Chocolate/White,Intact Female,Owner Surrender,Normal,270.0,Joven (6m-1a),mix,Bicolor,Otoño,10,10,Adoption
A688908,Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,9,2,Return to Owner
A707060,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,7,0,At Risk
A785655,Dog,Labrador Retriever Mix,Brown,Neutered Male,Stray,Injured,1095.0,Adulto (3-7a),mix,Monocolor,Invierno,12,1,Return to Owner
A749861,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,5,7,Adoption
A197810,Cat,American Shorthair Mix,Brown Tabby/White,Spayed Female,Stray,Normal,5110.0,Senior (>7a),mix,Bicolor,Invierno,12,14,Transfer
A772488,Dog,Staffordshire Mix,Blue,Intact Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Primavera,5,10,Adoption
A809859,Dog,Wire Hair Fox Terrier,Black/Brown,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Invierno,12,4,Adoption
A769693,Dog,Dachshund Mix,Brown Brindle/Liver Tick,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Verano,8,4,Transfer
