AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A735552,Dog,Cairn Terrier Mix,Tan/White,Spayed Female,Owner Surrender,Normal,180.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A664253,Dog,Black/Tan Hound Mix,Black/Brown,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Return to Owner
A763633,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Invierno,Adoption
A812995,Dog,Border Terrier,Brown,Intact Male,Stray,Normal,150.0,Cachorro (<6m),purebred,Monocolor,Invierno,Adoption
A750319,Dog,Pointer Mix,White/Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer
A811123,Dog,Siberian Husky,Tricolor/Black,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A751960,Cat,Domestic Longhair Mix,Brown Tabby/White,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Return to Owner
A823630,Dog,Australian Cattle Dog Mix,Black/White,Intact Female,Stray,Normal,300.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A705550,Cat,Siamese Mix,Lynx Point,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A689481,Cat,Domestic Shorthair Mix,White/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A764584,Dog,Beagle Mix,Tan/White,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Return to Owner
A721399,Dog,Labrador Retriever Mix,Tan,Neutered Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Invierno,Adoption
A704320,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A646449,Dog,Catahoula/Labrador Retriever,Brown Brindle,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Verano,Return to Owner
A619052,Dog,Miniature Poodle Mix,Chocolate,Neutered Male,Owner Surrender,Normal,2555.0,Senior (>7a),mix,Monocolor,Otoño,Adoption
A727004,Dog,Australian Cattle Dog Mix,Black/White,Neutered Male,Stray,Normal,3285.0,Senior (>7a),mix,Bicolor,Primavera,Transfer
A765971,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Male,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption
